,Sfc_Runoff,Sfc_Runoff,Sfc_Runoff,Sfc_Runoff,Sfc_Runoff,Sfc_Runoff,Sfc_Runoff,Sfc_Runoff,C,C,C,C,C,C,C,C,Precip,Precip,Precip,Precip,Precip,Precip,Precip,Precip
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
comid,,,,,,,,,,,,,,,,,,,,,,,,
8625279,13879.0,0.20608049571294734,0.930588985017938,0.0,0.0,0.0,0.0191,27.9701,13879.0,13.87618056055913,9.289824283778692,-19.92999999999998,6.25,14.510000000000048,22.260000000000048,32.35000000000002,13879.0,3.05137329778802,7.563375788865494,0.0,0.0,0.07,2.215,117.22
8625313,13879.0,0.20608049571294734,0.930588985017938,0.0,0.0,0.0,0.0191,27.9701,13879.0,13.87618056055913,9.289824283778692,-19.92999999999998,6.25,14.510000000000048,22.260000000000048,32.35000000000002,13879.0,3.05137329778802,7.563375788865494,0.0,0.0,0.07,2.215,117.22
8625375,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625523,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625547,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625615,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625685,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625697,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625717,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625727,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625731,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625735,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625739,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625747,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8625775,13879.0,0.20178315440593603,0.9509099581582448,0.0,0.0,0.0,0.01925,34.928,13879.0,13.441870451761623,9.219575361949573,-20.769999999999982,5.930000000000007,14.129999999999995,21.74000000000001,31.52000000000004,13879.0,3.016285034944886,7.522655365119102,0.0,0.0,0.09,2.2,114.23
8627469,13879.0,0.20608049571294734,0.930588985017938,0.0,0.0,0.0,0.0191,27.9701,13879.0,13.87618056055913,9.289824283778692,-19.92999999999998,6.25,14.510000000000048,22.260000000000048,32.35000000000002,13879.0,3.05137329778802,7.563375788865494,0.0,0.0,0.07,2.215,117.22
8628577,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628579,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628581,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628587,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628591,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628603,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628611,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628623,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628627,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628631,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628641,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8628643,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
8629331,13879.0,0.1995770588659118,0.9259278185102425,0.0,0.0,0.0,0.0222,26.9394,13879.0,12.347625909647702,9.142933095312868,-22.299999999999983,4.9500000000000455,13.120000000000005,20.54000000000002,30.02000000000004,13879.0,3.0504294257511346,7.512990470748882,0.0,0.0,0.11,2.31,124.79
