Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean
1981,1,31,0.002480645,0.012981023,0,0,0,0,0.0724,0.0769
1981,2,28,0.060242857,0.188081112,0,0,0,0.0116,0.7875,1.6868
1981,3,31,0.072219355,0.293668139,0,0,0,0.0001,1.6118,2.2388
1981,4,30,0.04273,0.120396509,0,0,0.00015,0.009875,0.6019,1.2819
1981,5,31,0.1486,0.507924118,0,0,0,0.01225,2.76,4.6066
1981,6,30,0.063446667,0.163873468,0,0,0,0.03505,0.7828,1.9034
1981,7,31,0.075825806,0.164143007,0,0,0.0003,0.07035,0.7543,2.3506
1981,8,31,0.060451613,0.193086248,0,0,0,0.0001,0.8048,1.874
1981,9,30,0.112126667,0.39632288,0,0,0,0.00695,2.1013,3.3638
1981,10,31,0.187687097,0.856900692,0,0,0,0.0001,4.7419,5.8183
1981,11,30,0.01261,0.065828855,0,0,0,0.000375,0.361,0.3783
1981,12,31,0.046670968,0.129018276,0,0,0,0.02875,0.6899,1.4468
1982,1,31,0.20256129,0.428633242,0,0,0.0102,0.14885,1.8545,6.2794
1982,2,28,0.290214286,1.01500708,0,0,0.00125,0.064475,5.3507,8.126
1982,3,31,0.098996774,0.208141256,0,0,0.0022,0.0529,0.8116,3.0689
1982,4,30,0.08313,0.23472595,0,0,0,0.0193,1.1032,2.4939
1982,5,31,0.146729032,0.33108015,0,0,0.0014,0.0753,1.5125,4.5486
1982,6,30,0.18349,0.375801631,0,0,0.00185,0.129475,1.6041,5.5047
1982,7,31,0.098996774,0.260108261,0,0,0.0028,0.03835,1.316,3.0689
1982,8,31,0.169793548,0.368105931,0,0,0.0001,0.0915,1.3341,5.2636
1982,9,30,0.094306667,0.333717223,0,0,0,0.00015,1.3326,2.8292
1982,10,31,0.121258065,0.374367434,0,0,0,0.0047,1.7516,3.759
1982,11,30,0.114383333,0.302294501,0,0,0.00055,0.027725,1.4432,3.4315
1982,12,31,0.075174194,0.237694918,0,0,0,0.00935,1.1736,2.3304
1983,1,31,0.018180645,0.061094285,0,0,0,0.0029,0.3236,0.5636
1983,2,28,0.110207143,0.33768574,0,0,0.00095,0.016525,1.7344,3.0858
1983,3,31,0.17553871,0.454835373,0,0,0.0015,0.15305,2.4226,5.4417
1983,4,30,0.51915,1.296425281,0,0,0.0001,0.42775,6.0936,15.5745
1983,5,31,0.055125806,0.12415007,0,0,0,0.036,0.4901,1.7089
1983,6,30,0.138653333,0.317992577,0,0,0.01895,0.1072,1.5754,4.1596
1983,7,31,0.0314,0.091449042,0,0,0,0.0001,0.3372,0.9734
1983,8,31,0.03423871,0.111036347,0,0,0,0.0121,0.6026,1.0614
1983,9,30,0.05274,0.229608962,0,0,0,7.50E-05,1.2501,1.5822
1983,10,31,0.235341935,0.607223115,0,0,0,0.0269,2.9424,7.2956
1983,11,30,0.17907,0.5115056,0,0,0.00035,0.008925,2.2616,5.3721
1983,12,31,0.171641935,0.525170647,0,0,0,0.00915,2.4517,5.3209
1984,1,31,0.037170968,0.055698008,0,5.00E-05,0.0008,0.0658,0.1735,1.1523
1984,2,29,0.231103448,0.798629404,0,0,0.0001,0.0099,3.7353,6.702
1984,3,31,0.238451613,0.64079391,0,0,0.0002,0.0364,2.9749,7.392
1984,4,30,0.141816667,0.376369815,0,0,0.00085,0.09795,1.7381,4.2545
