,0-10cm,10-40cm,40-100cm,100-200cm,0-100cm,0-200cm,COMID
1981-01-01,26.68,76.15,138.6,245.6,241.4,487.0,8628631
1981-01-02,27.86,79.18,144.5,256.1,251.6,507.7,8628631
1981-01-03,28.6,77.98,144.5,255.9,251.1,507.0,8628631
1981-01-04,29.51,76.79,144.4,255.7,250.7,506.5,8628631
1981-01-05,30.89,75.3,144.2,255.5,250.4,505.9,8628631
1981-01-06,31.93,74.61,143.6,255.4,250.1,505.5,8628631
1981-01-07,31.97,75.07,142.8,255.1,249.9,505.0,8628631
1981-01-08,32.12,75.57,142.1,254.9,249.8,504.7,8628631
1981-01-09,32.5,75.73,141.4,254.7,249.6,504.3,8628631
1981-01-10,32.58,76.2,140.7,254.4,249.5,503.9,8628631
1981-01-11,32.89,76.41,140.0,254.2,249.3,503.5,8628631
1981-01-12,33.09,76.82,139.2,253.9,249.1,503.0,8628631
1981-01-13,33.23,77.39,138.4,253.6,249.1,502.6,8628631
1981-01-14,33.12,78.17,137.7,253.2,249.1,502.2,8628631
1981-01-15,32.61,79.25,137.3,252.8,249.1,501.9,8628631
1981-01-16,32.0,80.28,136.9,252.3,249.2,501.5,8628631
1981-01-17,31.47,80.8,136.6,251.9,248.9,500.8,8628631
1981-01-18,31.78,80.7,136.4,251.5,248.8,500.3,8628631
1981-01-19,31.85,80.98,136.0,251.0,248.8,499.9,8628631
1981-01-20,31.33,81.81,135.6,250.6,248.8,499.4,8628631
1981-01-21,32.09,83.86,135.4,250.2,251.4,501.5,8628631
1981-01-22,30.33,88.65,135.4,249.7,254.3,504.1,8628631
1981-01-23,28.07,90.5,135.5,249.3,254.0,503.4,8628631
1981-01-24,28.07,90.25,135.6,248.9,253.9,502.9,8628631
1981-01-25,28.5,89.65,135.8,248.6,253.9,502.5,8628631
1981-01-26,28.43,89.52,135.9,248.2,253.8,502.0,8628631
1981-01-27,26.64,91.01,136.0,247.8,253.6,501.4,8628631
1981-01-28,25.14,92.08,136.3,247.5,253.5,501.0,8628631
1981-01-29,24.47,91.79,136.8,247.1,253.1,500.2,8628631
1981-01-30,24.82,90.58,137.3,246.8,252.7,499.5,8628631
1981-01-31,26.36,88.71,137.7,246.5,252.8,499.3,8628631
1981-02-01,28.49,87.13,137.8,246.3,253.4,499.7,8628631
1981-02-02,36.25,92.8,137.8,246.0,266.8,512.8,8628631
1981-02-03,33.23,100.2,138.4,245.7,271.8,517.5,8628631
1981-02-04,34.66,98.03,138.8,245.5,271.5,517.1,8628631
1981-02-05,35.8,96.7,138.9,245.3,271.4,516.7,8628631
1981-02-06,36.54,96.09,138.6,245.1,271.3,516.4,8628631
1981-02-07,36.58,96.19,138.3,244.9,271.1,516.0,8628631
1981-02-08,35.79,97.22,138.0,244.7,271.0,515.7,8628631
1981-02-09,34.89,98.32,137.8,244.4,271.0,515.4,8628631
1981-02-10,35.25,98.24,137.6,244.2,271.1,515.3,8628631
1981-02-11,36.38,114.4,137.9,244.0,288.7,532.8,8628631
1981-02-12,30.31,123.6,142.1,243.9,296.0,539.9,8628631
1981-02-13,32.68,118.5,144.5,243.8,295.7,539.5,8628631
1981-02-14,34.22,116.2,145.0,243.8,295.4,539.1,8628631
1981-02-15,34.77,115.1,145.0,243.8,294.9,538.7,8628631
1981-02-16,34.37,115.0,145.0,243.8,294.3,538.1,8628631
1981-02-17,30.97,118.3,145.1,243.8,294.4,538.1,8628631
1981-02-18,27.99,121.3,145.9,243.9,295.3,539.1,8628631
1981-02-19,28.19,120.5,148.3,244.0,297.0,541.0,8628631
1981-02-20,29.78,119.9,153.1,244.2,302.8,547.0,8628631
1981-02-21,27.47,115.3,159.7,244.9,302.5,547.5,8628631
1981-02-22,26.57,109.9,164.1,246.2,300.6,546.7,8628631
1981-02-23,28.06,105.7,167.1,247.9,300.9,548.8,8628631
1981-02-24,27.63,101.9,170.6,250.2,300.1,550.3,8628631
1981-02-25,26.84,97.13,172.3,252.9,296.3,549.3,8628631
1981-02-26,26.99,93.12,172.2,255.8,292.3,548.2,8628631
1981-02-27,27.33,90.03,171.2,258.5,288.6,547.1,8628631
1981-02-28,27.1,88.15,170.0,260.8,285.3,546.1,8628631
1981-03-01,26.17,86.49,169.4,262.9,282.0,545.0,8628631
1981-03-02,26.23,83.31,168.9,265.2,278.5,543.6,8628631
1981-03-03,25.98,81.34,168.1,266.9,275.4,542.3,8628631
1981-03-04,26.66,79.63,167.0,268.4,273.3,541.7,8628631
1981-03-05,29.6,84.82,166.5,269.8,280.9,550.7,8628631
1981-03-06,27.63,84.63,167.5,271.2,279.7,551.0,8628631
1981-03-07,27.05,82.35,167.4,272.5,276.8,549.3,8628631
1981-03-08,27.4,80.05,166.7,273.6,274.1,547.7,8628631
1981-03-09,27.49,78.69,165.6,274.5,271.8,546.3,8628631
1981-03-10,26.01,78.95,164.5,275.2,269.4,544.6,8628631
1981-03-11,25.21,78.5,163.4,275.6,267.1,542.8,8628631
1981-03-12,24.71,77.71,162.5,275.9,264.9,540.8,8628631
1981-03-13,24.7,76.52,161.7,276.1,262.9,539.0,8628631
1981-03-14,24.29,75.78,160.8,276.1,260.9,537.0,8628631
1981-03-15,24.26,74.7,160.0,276.1,259.0,535.1,8628631
1981-03-16,24.15,74.23,159.1,275.9,257.5,533.4,8628631
1981-03-17,23.86,73.7,158.3,275.6,255.9,531.5,8628631
1981-03-18,23.76,73.12,157.6,275.4,254.5,529.8,8628631
1981-03-19,23.55,72.96,156.9,275.0,253.4,528.4,8628631
1981-03-20,23.81,72.07,156.2,274.7,252.1,526.8,8628631
1981-03-21,24.74,70.91,155.6,274.4,251.2,525.6,8628631
1981-03-22,25.46,70.61,154.9,274.1,251.0,525.1,8628631
1981-03-23,29.05,76.84,154.6,273.6,260.5,534.1,8628631
1981-03-24,28.45,81.41,155.5,273.2,265.4,538.6,8628631
1981-03-25,27.3,80.65,156.4,272.9,264.3,537.2,8628631
1981-03-26,26.33,79.47,157.0,272.7,262.8,535.5,8628631
1981-03-27,25.59,78.46,157.2,272.5,261.3,533.7,8628631
1981-03-28,25.16,77.39,157.2,272.3,259.8,532.1,8628631
1981-03-29,24.74,76.46,157.0,272.1,258.2,530.3,8628631
