,,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,0-10cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,10-40cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,40-100cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,100-200cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-100cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm,0-200cm
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
1981,1,31,30.03,2.739750597,24.47,28.07,31.33,32.105,33.23,31,81.99322581,6.208516402,74.61,76.6,80.28,89.115,92.08,31,138.6645161,3.193696749,135.4,136,137.3,141.05,144.5,31,251.5774194,3.281433597,245.6,248.75,251.9,254.55,256.1,31,250.6870968,2.616453316,241.4,249.1,250.1,252.95,254.3,31,502.2709677,3.643916716,487,500.9,502.5,504.2,507.7
1981,2,28,31.61178571,3.768954127,26.57,27.9,31.825,34.98,36.58,28,105.1767857,11.57234893,87.13,96.5725,101.05,115.525,123.6,28,149.325,13.05006386,137.6,138.375,145,160.8,172.3,28,246.725,4.640452165,243.8,243.975,244.9,246.225,260.8,28,286.125,13.90911305,253.4,271.375,293.3,296.075,302.8,28,532.8535714,15.01213046,499.7,516.625,538.9,546.775,550.3
1981,3,31,25.96129032,1.658858527,23.55,24.705,25.98,27.35,29.6,31,78.25774194,4.238594665,70.61,75.24,78.5,80.995,86.49,31,160.9741935,4.857569196,154.6,157,159.7,166.05,169.4,31,272.8354839,3.274807718,262.9,271.95,273.6,275.3,276.1,31,265.1935484,9.245032377,251,258.6,264.3,272.65,282,31,538.0290323,7.433087898,525.1,532.75,537.2,543.65,551
1981,4,30,25.86266667,1.081231524,24.21,25.025,25.955,26.6375,28.5,30,79.13,2.080785661,75.38,77.7175,78.985,80.46,84.49,30,159.9833333,1.461950358,157.5,158.775,159.9,161.225,162.7,30,271.9533333,0.586475936,270.9,271.425,272.05,272.475,272.8,30,264.9766667,3.920651189,257.4,262.4,264.7,267.425,274.2,30,536.93,3.873708906,528.3,534.9,536.55,539.425,545.3
1981,5,31,26.51032258,2.321017713,23.69,24.505,26.1,27.62,33.31,31,79.80935484,6.16810178,72.29,74.9,78.88,83.465,95.19,31,159.3419355,8.394791012,151.2,152.7,155.6,164.4,180.3,31,266.016129,4.753181165,260,262.95,265.7,267.6,280.8,31,265.6580645,15.72659688,248,253.95,259.6,274.3,302.9,31,531.6645161,17.90170473,512.9,519.1,524.1,539.7,574.8
1981,6,30,25.98366667,1.652117728,23.85,24.635,25.67,27.345,30.44,30,78.87166667,4.836291029,73.03,74.8775,77.245,83.1475,90.18,30,160.5433333,8.900820703,147.1,152.45,160.55,169.325,172.9,30,274.2833333,10.59362474,254,265.725,277.8,284.1,284.9,30,265.4,14.95932416,245.6,251.5,262.85,279.55,291.2,30,539.6866667,25.07561989,500.4,516.925,540.65,564.275,575.8
1981,7,31,26.13903226,1.418669223,24.2,24.97,25.86,27.04,29.16,31,78.23225806,3.00870815,74.31,75.74,77.28,80.315,84.41,31,152.2225806,3.795146873,146.4,149,152,154.7,159.6,31,246.9387097,5.418405511,236.3,242.45,247.7,252.2,253.5,31,256.6032258,7.008731881,245.2,251.2,255.5,261.15,271.3,31,503.5258065,11.75567856,481.5,492.9,503.6,512.2,524.1
1981,8,31,23.65709677,1.862267782,20.74,22.56,23.58,24.215,29.44,31,71.61483871,4.328696394,65.06,68.31,71.23,73.91,81.27,31,140.616129,4.602687387,131.3,137.5,141.8,144.3,145.7,31,222.6193548,7.938573312,209.2,216.65,222.6,229.2,235.3,31,235.8903226,10.11505,218.2,227.85,236.7,243.05,252.4,31,458.5193548,17.17726054,428.8,444.5,463.5,473.45,481.3
1981,9,30,25.313,2.23785943,22.33,23.8525,24.73,26.2975,31.28,30,76.05366667,5.368018631,67.04,72.085,75.495,80.43,87.17,30,145.51,6.54092422,130.2,143.625,147.3,150.15,152.6,30,210.3633333,1.704453261,207.3,209.25,210.35,211.875,212.5,30,246.88,11.80944683,221.2,240.55,247.8,256.95,262.8,30,457.2466667,12.00677204,429.7,452.775,459.25,467.175,471.2
