,Sfc_Runoff,C,Precip
1981-01-01,0.00040,2.4500000000000455,0.41
1981-01-02,0.00000,0.10000000000002274,0.06
1981-01-03,0.00000,-1.1499999999999773,0.0
1981-01-04,0.00000,-4.569999999999993,0.0
1981-01-05,0.00000,-10.579999999999984,0.0
1981-01-06,0.00000,-4.810000000000002,0.0
1981-01-07,0.00360,-0.37000000000000455,2.16
1981-01-08,0.00000,-6.829999999999984,0.0
1981-01-09,0.00000,-4.17999999999995,0.0
1981-01-10,0.00000,-4.439999999999998,0.0
1981-01-11,0.00000,-9.829999999999984,0.0
1981-01-12,0.00000,-10.370000000000005,0.0
1981-01-13,0.00000,-8.829999999999984,0.0
1981-01-14,0.00000,-1.17999999999995,0.0
1981-01-15,0.00020,1.5400000000000205,0.4
1981-01-16,0.00000,0.4500000000000455,0.0
1981-01-17,0.00000,-5.1200000000000045,0.0
1981-01-18,0.00000,-4.889999999999986,0.0
1981-01-19,0.00000,0.37999999999999545,0.0
1981-01-20,0.00000,4.28000000000003,0.0
1981-01-21,0.10420,4.4500000000000455,6.86
1981-01-22,0.00000,3.5600000000000023,0.0
1981-01-23,0.00000,1.670000000000016,0.0
1981-01-24,0.00000,1.6299999999999955,0.0
1981-01-25,0.00000,4.100000000000023,0.0
1981-01-26,0.00000,6.460000000000036,0.0
1981-01-27,0.00080,9.439999999999998,0.29
1981-01-28,0.00000,5.7900000000000205,0.0
1981-01-29,0.00000,3.080000000000041,0.0
1981-01-30,0.00030,-1.7299999999999613,1.57
1981-01-31,0.00090,-4.6200000000000045,0.05
1981-02-01,0.01570,-2.9399999999999977,2.66
1981-02-02,0.81520,4.53000000000003,18.12
1981-02-03,0.00000,-6.949999999999989,0.0
1981-02-04,0.00000,-6.609999999999957,0.0
1981-02-05,0.00000,-6.899999999999977,0.0
1981-02-06,0.00000,-3.159999999999968,0.0
1981-02-07,0.00000,1.3500000000000227,0.0
1981-02-08,0.00110,2.580000000000041,0.98
1981-02-09,0.00000,-2.4699999999999704,0.17
1981-02-10,0.01030,1.7900000000000205,2.87
1981-02-11,0.72680,10.900000000000034,26.65
1981-02-12,0.00000,-7.649999999999977,0.0
1981-02-13,0.00000,-4.810000000000002,0.0
1981-02-14,0.00000,0.07000000000005002,0.0
1981-02-15,0.00000,3.680000000000007,0.0
1981-02-16,0.00000,5.010000000000048,0.0
1981-02-17,0.00840,9.0,1.6
1981-02-18,0.00720,11.050000000000011,0.66
1981-02-19,0.07810,10.890000000000043,5.86
1981-02-20,0.08830,10.520000000000039,5.09
1981-02-21,0.00000,9.090000000000032,0.02
1981-02-22,0.01080,9.870000000000005,1.59
1981-02-23,0.06040,10.930000000000007,5.57
1981-02-24,0.00000,5.680000000000007,0.0
1981-02-25,0.00000,4.689999999999998,0.0
1981-02-26,0.00000,4.960000000000036,0.0
1981-02-27,0.00000,5.210000000000036,0.0
1981-02-28,0.00000,10.0,0.05
1981-03-01,0.00000,11.189999999999998,0.13
1981-03-02,0.00000,6.810000000000002,0.0
1981-03-03,0.00120,2.7700000000000387,1.21
1981-03-04,0.06350,2.900000000000034,4.96
1981-03-05,0.11670,6.220000000000027,7.18
1981-03-06,0.00000,3.4700000000000273,0.0
1981-03-07,0.00000,1.1100000000000136,0.0
1981-03-08,0.00000,0.5100000000000477,0.0
1981-03-09,0.00000,4.0400000000000205,0.0
1981-03-10,0.00000,4.580000000000041,0.0
1981-03-11,0.00000,5.650000000000034,0.0
1981-03-12,0.00000,3.840000000000032,0.0
1981-03-13,0.00000,7.050000000000011,0.0
1981-03-14,0.00000,4.910000000000025,0.04
1981-03-15,0.00000,3.490000000000009,0.0
1981-03-16,0.00010,7.32000000000005,0.44
1981-03-17,0.00000,1.6299999999999955,0.0
1981-03-18,0.00010,6.740000000000009,0.25
1981-03-19,0.00030,1.5100000000000477,0.36
1981-03-20,0.00000,-2.089999999999975,0.0
1981-03-21,0.02790,1.6299999999999955,1.71
1981-03-22,0.03280,2.5100000000000477,3.07
1981-03-23,0.60460,1.9399999999999977,16.89
1981-03-24,0.00000,3.480000000000018,0.0
1981-03-25,0.00000,5.9500000000000455,0.0
1981-03-26,0.00000,7.53000000000003,0.04
1981-03-27,0.00000,10.5,0.08
1981-03-28,0.00000,8.680000000000007,0.0
1981-03-29,0.00000,11.730000000000018,0.0
1981-03-30,2.14520,14.560000000000002,20.03
1981-03-31,0.00000,15.450000000000045,0.0
1981-04-01,0.00010,16.480000000000018,0.28
1981-04-02,0.00000,13.550000000000011,0.0
1981-04-03,0.00000,16.0,0.0
1981-04-04,0.00000,17.430000000000007,0.0
1981-04-05,0.11160,16.27000000000004,8.11
1981-04-06,0.00070,8.220000000000027,0.49
1981-04-07,0.00000,6.480000000000018,0.0
1981-04-08,0.00000,11.439999999999998,0.0
1981-04-09,0.03350,13.490000000000009,4.63
1981-04-10,0.00070,14.650000000000034,0.72
1981-04-11,0.00000,18.760000000000048,0.0
1981-04-12,0.00040,20.590000000000032,0.4
1981-04-13,0.04990,16.410000000000025,3.26
1981-04-14,0.25450,13.430000000000007,7.7
1981-04-15,0.03090,12.160000000000025,1.5
1981-04-16,0.00140,10.78000000000003,0.6
1981-04-17,0.08320,13.470000000000027,6.57
1981-04-18,0.00000,18.03000000000003,0.12
1981-04-19,0.00000,16.08000000000004,0.0
1981-04-20,0.56720,13.140000000000043,14.26
1981-04-21,0.00000,8.870000000000005,0.0
1981-04-22,0.00000,9.920000000000016,0.0
1981-04-23,0.00040,16.560000000000002,0.63
1981-04-24,0.02250,15.770000000000039,2.43
1981-04-25,0.00000,8.54000000000002,0.0
1981-04-26,0.00000,12.189999999999998,0.0
1981-04-27,0.00000,19.160000000000025,0.0
1981-04-28,0.00000,21.650000000000034,0.0
1981-04-29,0.00110,21.129999999999995,1.38
1981-04-30,0.01480,17.890000000000043,1.97
1981-05-01,0.00070,15.230000000000018,1.21
1981-05-02,0.00000,9.360000000000014,0.03
1981-05-03,0.00000,10.04000000000002,0.0
1981-05-04,0.00000,15.980000000000018,0.0
1981-05-05,0.00000,18.350000000000023,0.0
1981-05-06,0.00020,16.939999999999998,0.94
1981-05-07,0.00240,13.850000000000023,0.94
1981-05-08,0.00000,10.200000000000045,0.0
1981-05-09,0.00000,11.410000000000025,0.03
1981-05-10,0.00540,14.680000000000007,1.98
1981-05-11,0.34790,17.210000000000036,10.1
1981-05-12,0.00000,13.710000000000036,0.06
1981-05-13,0.00000,13.439999999999998,0.0
1981-05-14,0.00000,18.310000000000002,0.0
1981-05-15,0.38250,18.27000000000004,9.93
1981-05-16,0.00000,12.590000000000032,0.0
1981-05-17,0.00000,13.990000000000009,0.48
1981-05-18,0.03610,14.350000000000023,4.51
1981-05-19,0.75080,10.920000000000016,22.87
1981-05-20,0.13670,9.0,8.73
1981-05-21,0.00330,13.07000000000005,0.99
1981-05-22,0.00000,16.53000000000003,0.0
1981-05-23,0.00000,18.439999999999998,0.0
1981-05-24,0.00000,21.0,0.0
1981-05-25,0.00000,22.420000000000016,0.0
1981-05-26,0.00000,22.32000000000005,0.01
1981-05-27,0.21170,19.150000000000034,12.42
1981-05-28,2.26270,17.840000000000032,39.49
1981-05-29,0.01900,18.010000000000048,1.54
1981-05-30,0.00000,21.30000000000001,0.29
1981-05-31,0.00510,22.79000000000002,2.09
1981-06-01,0.00700,20.600000000000023,2.35
1981-06-02,0.07610,21.30000000000001,7.89
1981-06-03,0.05020,23.629999999999995,3.01
1981-06-04,0.00120,23.58000000000004,4.25
1981-06-05,0.01160,23.78000000000003,1.31
